symbol,name
BTCUSDT,Bitcoin
ETHUSDT,Ethereum
SOLUSDT,Solana
XRPUSDT,XRP
BNBUSDT,BNB
ADAUSDT,Cardano
DOGEUSDT,Dogecoin
TRXUSDT,TRON
AVAXUSDT,Avalanche
LINKUSDT,Chainlink
TONUSDT,Toncoin
DOTUSDT,Polkadot
MATICUSDT,Polygon
LTCUSDT,Litecoin
BCHUSDT,Bitcoin Cash
UNIUSDT,Uniswap
APTUSDT,Aptos
NEARUSDT,NEAR
ATOMUSDT,Cosmos
FILUSDT,Filecoin
ETCUSDT,Ethereum Classic
OPUSDT,Optimism
ARBUSDT,Arbitrum
INJUSDT,Injective
SUIUSDT,Sui
SEIUSDT,Sei
RENDERUSDT,Render
ICPUSDT,Internet Computer
XLMUSDT,Stellar
HBARUSDT,Hedera
